period_start,period_end,month,scope,snapshot_date,files,code_lines,comment_lines,stock_comment_ratio,added_code,added_comment,flow_comment_ratio,removed_code,removed_comment,partial_month,seeded_month
2025-09-05,2025-09-15,2025-09,ts,2025-09-15,629,31877,2416,0.070452,31877,2416,0.070452,0,0,false,true
2025-09-05,2025-09-15,2025-09,spec.ts,2025-09-15,114,22990,518,0.022035,22990,518,0.022035,0,0,false,true
2025-09-05,2025-09-15,2025-09,tsx,2025-09-15,176,13816,315,0.022291,13816,315,0.022291,0,0,false,true
2025-09-05,2025-09-15,2025-09,spec.tsx,2025-09-15,16,2583,68,0.025651,2583,68,0.025651,0,0,false,true
2025-09-05,2025-09-15,2025-09,all,2025-09-15,935,71266,3317,0.044474,71266,3317,0.044474,0,0,false,true
2025-09-05,2025-09-15,2025-09,prod,2025-09-15,805,45693,2731,0.056398,45693,2731,0.056398,0,0,false,true
2025-09-05,2025-09-15,2025-09,spec,2025-09-15,130,25573,586,0.022401,25573,586,0.022401,0,0,false,true
2025-09-05,2025-09-15,2025-09,backend,2025-09-15,743,54867,2934,0.050760,54867,2934,0.050760,0,0,false,true
2025-09-05,2025-09-15,2025-09,frontend,2025-09-15,192,16399,383,0.022822,16399,383,0.022822,0,0,false,true
2025-09-15,2025-10-01,2025-09,ts,2025-10-01,737,42083,3116,0.068940,12615,875,0.064863,2409,175,false,false
2025-09-15,2025-10-01,2025-09,spec.ts,2025-10-01,133,29947,744,0.024242,9243,252,0.026540,2286,26,false,false
2025-09-15,2025-10-01,2025-09,tsx,2025-10-01,187,15728,361,0.022438,5647,160,0.027553,3735,114,false,false
2025-09-15,2025-10-01,2025-09,spec.tsx,2025-10-01,17,3438,122,0.034270,1009,57,0.053471,154,3,false,false
2025-09-15,2025-10-01,2025-09,all,2025-10-01,1074,91196,4343,0.045458,28514,1344,0.045013,8584,318,false,false
2025-09-15,2025-10-01,2025-09,prod,2025-10-01,924,57811,3477,0.056732,18262,1035,0.053635,6144,289,false,false
2025-09-15,2025-10-01,2025-09,spec,2025-10-01,150,33385,866,0.025284,10252,309,0.029259,2440,29,false,false
2025-09-15,2025-10-01,2025-09,backend,2025-10-01,870,72030,3860,0.050863,21858,1127,0.049032,4695,201,false,false
